Title,Date,Month,Fiscal Year,Library,Primary Event Type,Event Type Option 1,Event Type Option 2,Primary Age Group,Age Group Option 1,Age Group Option 2,Description,Internal Notes,Published Status,Attendance
Family Storytime,08/23/2016,Aug,FY 17,Bethesda,Storytime,ACE - All Children Excel,,All Ages,,,"Stories, songs, rhymes, and other early literacy activities for children of all ages. Free tickets will be handed out 30 minutes prior to the program. Space is limited. A summertime program for children and families.",,Yes,65
Tutoring and Homework Help,08/23/2016,Aug,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Tutoring and Homework Help,08/23/2016,Aug,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor of the library. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Family Storytime,08/24/2016,Aug,FY 17,Bethesda,Storytime,ACE - All Children Excel,,All Ages,,,"Stories, songs, rhymes, and other early literacy activities for children of all ages. Free tickets will be handed out 30 minutes prior to the program. Space is limited. A summertime program for children and families.",,Yes,69
Rhyme Time Storytime,08/24/2016,Aug,FY 17,Long Branch,Science & Math (STEM),Storytime,,Babies and Toddlers,Preschool and Kindergarten,,"A storytime for ages 5 and under, with a caregiver, that will include stories, fingerplays, songs and other early literacy activities. No registration required.",,Yes,39
Toddler & Preschool Storytime,08/25/2016,Aug,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"This storytime is geared towards toddlers and preschoolers. We will enjoy fingerplays,songs and books. Due to space limitations we are requiring registration. Please register for the adult caregiver attending. Space is limited.",,Yes,57
Construction Crew: DUPLO,08/25/2016,Aug,FY 17,Damascus,Science & Math (STEM),ACE - All Children Excel,Makerspace,Preschool and Kindergarten,Babies and Toddlers,,"Drop in for a morning open session of imaginative construction with DUPLO (ages 2-5), and EDU-BLOCK (ages NB-2). We supply the blocks, so please leave yours at home-- just bring your ideas and start building! Your creations must be left at the library, but may be photographed before deconstruction. All children must be accompanied by an adult at all times. Sponsored by Friends of the Library, Damascus Chapter. Drop-in, no pre-registration. FREE. STEM.",,Yes,19
Tutoring and Homework Help,08/25/2016,Aug,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Tutoring and Homework Help,08/25/2016,Aug,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor of the library. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Family Fun Storytime,08/26/2016,Aug,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"Come join us for fun as we read stories, sing songs, and enjoy fingerplays. Appropriate for all ages. NOTE: Held during our CLOSED HOURS to accommodate lots of singing, dancing, and wiggling! Storytime is available on a first come first served basis. Please Note: Noyes is a small one-room library and WE MUST CLOSE OUR DOORS IF WE REACH CAPACITY.",,No,
Family Fun Storytime,08/26/2016,Aug,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"Come join us for fun as we read stories, sing songs, and enjoy fingerplays. Appropriate for all ages. NOTE: Held during our CLOSED HOURS to accommodate lots of singing, dancing, and wiggling! Storytime is available on a first come first served basis. Please Note: Noyes is a small one-room library and WE MUST CLOSE OUR DOORS IF WE REACH CAPACITY.",,Yes,
Family Fun Storytime,08/26/2016,Aug,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"Come join us for fun as we read stories, sing songs, and enjoy fingerplays. Appropriate for all ages. NOTE: Held during our CLOSED HOURS to accommodate lots of singing, dancing, and wiggling! Storytime is available on a first come first served basis. Please Note: Noyes is a small one-room library and WE MUST CLOSE OUR DOORS IF WE REACH CAPACITY.",,No,
Family Fun Storytime,08/26/2016,Aug,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"Come join us for fun as we read stories, sing songs, and enjoy fingerplays. Appropriate for all ages. NOTE: Held during our CLOSED HOURS to accommodate lots of singing, dancing, and wiggling! Storytime is available on a first come first served basis. Please Note: Noyes is a small one-room library and WE MUST CLOSE OUR DOORS IF WE REACH CAPACITY.",,Yes,
MC Infants & Toddlers Bilingual Storytime,08/26/2016,Aug,FY 17,Gaithersburg,Z_Visits In,Storytime,,Babies and Toddlers,Preschool and Kindergarten,,open bilingual storytime hosted in the library by MC Infants & Toddlers,,No,25
LEGO Playtime,08/26/2016,Aug,FY 17,Twinbrook,Makerspace,ACE - All Children Excel,Science & Math (STEM),Elementary School Age,Preschool and Kindergarten,,"Drop-in for an open session of imaginative construction with LEGO and DUPLO blocks. We supply the blocks so please leave yours at home-- just bring your ideas and start building! Your creations must be left at the library by may be photographed before you leave. All children must be accompanied by an adult at all times. For ages three to twelve. Sponsored by Friends of the Library, Twinbrook Chapter. No registration required. During the summertime, this event counts as an activity for the Explore Track of the Children's Summer Read & Learn Program. For more information call 240-777-0240.",,Yes,9
LEGO Crew,08/26/2016,Aug,FY 17,Gaithersburg,Science & Math (STEM),ACE - All Children Excel,Makerspace,Elementary School Age,Preschool and Kindergarten,,"Come showcase your creativity at this free drop-in LEGO® program sponsored by The Friends of the Library, Gaithersburg Chapter. Come up with your own amazing creations! We supply the bricks so please leave yours at home. Grades K-5 (with a caregiver.) MakerSpace and STEM.",,Yes,17
Tutoring and Homework Help,08/27/2016,Aug,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the Children's area. Two separate sessions: Session 1: 10:30 - 12:00 PM Session 2: 12:00 - 1:30 PM To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,
Time for Twos,10/25/2016,Oct,FY 17,Germantown,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"A special storytime for ages 24-35 months that includes stories, fingerplays, songs and other early literacy activities.",,Yes,77
Tutoring and Homework Help,08/27/2016,Aug,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the Children's area. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Tutoring and Homework Help,08/29/2016,Aug,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Baby Storytime,08/30/2016,Aug,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"This is a storytime geared toward babies. Recommended ages are newborn to 18 months. Join us as we sing songs,read books and enjoy fingerplays. Due to the popularity of storytime we are now requiring registration. Please register for the adult caregiver attending.",,Yes,32
Blocks: Play and Exploration,08/30/2016,Aug,FY 17,Wheaton,Science & Math (STEM),ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"Free play and exploration with our giant building bricks (age 18 mos to 3), soft vinyl blocks (6 mos to 18 mos) and Duplo-type bricks (2 to 5). We have plenty, please leave your blocks at home.",,Yes,21
Baby Storytime,08/30/2016,Aug,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"This is a storytime geared toward babies. Recommended ages are newborn to 18 months. Join us as we sing songs,read books and enjoy fingerplays. Storytime is limited to 15 parent/baby pairs. Due to the popularity of storytime we are now requiring registration. Please register for the adult caregiver attending.",,Yes,36
Tutoring and Homework Help,08/30/2016,Aug,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Tutoring and Homework Help,08/30/2016,Aug,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor of the library. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Act it Out Kids Book Club,08/30/2016,Aug,FY 17,Olney,ACE - All Children Excel,Storytime,,Elementary School Age,,,"We will read a story and then the kids will act it out! For kids in first,second and third grades only. For kids only--no parents. You must register online for this event. Limited to 20 participants.",,Yes,12
Rhyme Time Storytime,08/31/2016,Aug,FY 17,Long Branch,Science & Math (STEM),Storytime,,Babies and Toddlers,Preschool and Kindergarten,,"A storytime for ages 5 and under, with a caregiver, that will include stories, fingerplays, songs and other early literacy activities. No registration required.",,Yes,34
Family Evening Storytime - Watch the Birdie!,08/31/2016,Aug,FY 17,Noyes Library for Young Children,ACE - All Children Excel,Storytime,,Preschool and Kindergarten,Elementary School Age,,"Come join us for fun as we read stories, sing songs, and enjoy fingerplays. This storytime is geared toward preschool, kindergarten and early elementary aged children. Storytime followed by a bird feeder craft. No registration necessary.",,Yes,35
Toddler & Preschool Storytime,09/01/2016,Sep,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"This storytime is geared towards toddlers and preschoolers. We will enjoy fingerplays,songs and books. Due to space limitations we are requiring registration. Please register for the adult caregiver attending. Space is limited.Space is limited.",,Yes,45
Toddler & Preschool Storytime,09/01/2016,Sep,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"This storytime is geared towards toddlers and preschoolers. We will enjoy fingerplays,songs and books. Due to space limitations we are requiring registration. Please register for the adult caregiver attending. Space is limited.",,Yes,71
Toddler & Preschool Storytime,09/01/2016,Sep,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"This storytime is geared towards toddlers and preschoolers. We will enjoy fingerplays,songs and books. Due to space limitations we are requiring registration. Please register for the adult caregiver attending. Space is limited.",,No,
Construction Crew: DUPLO,09/01/2016,Sep,FY 17,Damascus,Science & Math (STEM),ACE - All Children Excel,Makerspace,Preschool and Kindergarten,Babies and Toddlers,,"Drop in for a morning open session of imaginative construction with DUPLO (ages 2-5), and EDU-BLOCK (ages NB-2). We supply the blocks, so please leave yours at home-- just bring your ideas and start building! Your creations must be left at the library, but may be photographed before deconstruction. All children must be accompanied by an adult at all times. Sponsored by Friends of the Library, Damascus Chapter. Drop-in, no pre-registration. FREE. STEM.",,Yes,21
Tutoring and Homework Help,09/01/2016,Sep,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Tutoring and Homework Help,09/01/2016,Sep,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor of the library. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
MC Infants & Toddlers Bilingual Storytime,09/02/2016,Sep,FY 17,Gaithersburg,Z_Visits In,Storytime,,Babies and Toddlers,Preschool and Kindergarten,,open bilingual storytime hosted in the library by MC Infants & Toddlers,,No,14
Born To Read,09/02/2016,Sep,FY 17,Bethesda,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"Stories, rhymes, songs, chants, and other early literacy activities for babies 0 to 23 months with an adult. Free tickets will be handed out 30 minutes prior to the program. Space is limited.",,Yes,83
Born To Read,09/02/2016,Sep,FY 17,Bethesda,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"Stories, rhymes, songs, chants and other early literacy activities for babies 0 to 23 months with an adult. Free tickets will be handed out 30 minutes prior to the program. Space is limited.",,Yes,20
LEGO Playtime,09/02/2016,Sep,FY 17,Twinbrook,Makerspace,ACE - All Children Excel,Science & Math (STEM),Elementary School Age,Preschool and Kindergarten,,"Drop-in for an open session of imaginative construction with LEGO and DUPLO blocks. We supply the blocks so please leave yours at home-- just bring your ideas and start building! Your creations must be left at the library by may be photographed before you leave. All children must be accompanied by an adult at all times. For ages three to twelve. Sponsored by Friends of the Library, Twinbrook Chapter. No registration required. For more information call 240-777-0240.",,Yes,9
LEGO Crew,09/02/2016,Sep,FY 17,Gaithersburg,Science & Math (STEM),ACE - All Children Excel,Makerspace,Elementary School Age,Preschool and Kindergarten,,"Come showcase your creativity at this free drop-in LEGO® program sponsored by The Friends of the Library, Gaithersburg Chapter. Come up with your own amazing creations! We supply the bricks so please leave yours at home. Grades K-5 (with a caregiver.) MakerSpace and STEM.",,Yes,36
Tutoring and Homework Help,09/03/2016,Sep,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the Children's area. Two separate sessions: Session 1: 10:30 - 12:00 PM Session 2: 12:00 - 1:30 PM To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,
Tutoring and Homework Help,09/03/2016,Sep,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the Children's area. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Tutoring and Homework Help,09/05/2016,Sep,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Baby Storytime,09/06/2016,Sep,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"This is a storytime geared toward babies. Recommended ages are newborn to 18 months. Join us as we sing songs,read books and enjoy fingerplays. Due to the popularity of storytime we are now requiring registration. Please register for the adult caregiver attending.",,Yes,38
Blocks: Play and Exploration,09/06/2016,Sep,FY 17,Wheaton,Science & Math (STEM),ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"Free play and exploration with our giant building bricks (age 18 mos to 3), soft vinyl blocks (6 mos to 18 mos) and Duplo-type bricks (2 to 5). We have plenty, please leave your blocks at home.",,Yes,13
Baby Storytime,09/06/2016,Sep,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"This is a storytime geared toward babies. Recommended ages are newborn to 18 months. Join us as we sing songs,read books and enjoy fingerplays. Storytime is limited to 15 parent/baby pairs. Due to the popularity of storytime we are now requiring registration. Please register for the adult caregiver attending.",,Yes,34
Toddler & Preschool Storytime,09/08/2016,Sep,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"This storytime is geared towards toddlers and preschoolers. We will enjoy fingerplays,songs and books. Due to space limitations we are requiring registration. Please register for the adult caregiver attending. Space is limited.Space is limited.",,Yes,38
LITTLE BABY STORYTIME -- FOR PREWALKERS,09/06/2016,Sep,FY 17,Rockville Memorial,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"Little Baby Storytime is for Prewalkers, babies ages birth to 12 months, with a parent or caregiver. Join us for stories, songs and rhymes. After storytime, we'll bring out the baby toys for some playtime. Free! No registration necessary. An ACE (All Children Excel) Program; a specialized program developed by MCPL with content for Early Literacy and to help children learn. Library customers can get 2 hours of FREE PARKING when they park in one of the Rockville Town Square garages: A, B or C. For more parking info. CLICK HERE.",,Yes,55
Toddler Time,09/06/2016,Sep,FY 17,Chevy Chase,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"Please join us for fun learning activities. We'll read, sing, dance, explore and learn finger plays just right for two and three year olds. No registration needed.",,Yes,56
Toddler Storytime,09/06/2016,Sep,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"**NOTE** We will be handing out tickets half an hour before storytime- starting at 10 o'clock, first come first served. Fun stories, songs and rhymes with lots of movement for wiggly toddlers. Help your child build pre-reading skills. Ages 18 to 36 months.",,Yes,78
Lap Time for Little Ones,09/06/2016,Sep,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"Stories, rhymes, bounces, and songs for children 0 to 18 months. Designed for parent/caregiver participation. ***NOTE*** We will be handing out tickets half an hour before storytime- starting at 11 o'clock, first come first served. Space is limited to 25 babies. Please come early.",,Yes,48
Tutoring and Homework Help,09/06/2016,Sep,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Tutoring and Homework Help,09/06/2016,Sep,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,13
Tutoring and Homework Help,09/06/2016,Sep,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor of the library. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Toddler Time,09/07/2016,Sep,FY 17,Germantown,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"Stories, rhymes, songs and other early literacy activities for ages 12 to 23 months.",,Yes,69
Pre-School Storytime,09/07/2016,Sep,FY 17,Twinbrook,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,Babies and Toddlers,,"Picture Books, Fingerplays, Action Rhymes, Movement with Music, and Flannel Board Stories. Free. No registration required. Designed for children ages 2 1/2 to 5. For more information call 240-777-0240.",,Yes,29
Preschool Storytime,09/07/2016,Sep,FY 17,Olney,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Stories, rhymes, songs and fun for children ages 2 1/2 to 5.",,Yes,65
Toddler Storytime,09/07/2016,Sep,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"**NOTE** We will be handing out tickets half an hour before storytime- starting at 10 o'clock, first come first served. Fun stories, songs and rhymes with lots of movement for wiggly toddlers. Help your child build pre-reading skills. Ages 18 to 36 months.",,Yes,80
Rhyme Time Storytime,09/07/2016,Sep,FY 17,Long Branch,Science & Math (STEM),Storytime,,Babies and Toddlers,Preschool and Kindergarten,,"A storytime for ages 5 and under, with a caregiver, that will include stories, fingerplays, songs and other early literacy activities. No registration required.",,Yes,29
Lap Time for Little Ones,09/07/2016,Sep,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"Stories, rhymes, bounces, and songs for children 0 to 18 months. Designed for parent/caregiver participation. ***NOTE*** We will be handing out tickets half an hour before storytime- starting at 11 o'clock, first come first served. Space is limited to 25 babies. Please come early.",,Yes,50
Tutoring and Homework Help,09/07/2016,Sep,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,
Toddler & Preschool Storytime,09/08/2016,Sep,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"This storytime is geared towards toddlers and preschoolers. We will enjoy fingerplays,songs and books. Due to space limitations we are requiring registration. Please register for the adult caregiver attending. Space is limited.",,Yes,70
Stem Open Play,09/08/2016,Sep,FY 17,Chevy Chase,Science & Math (STEM),ACE - All Children Excel,Z_For VS use only,Preschool and Kindergarten,,,"Come to the Chevy Chase Library on Thursday mornings from 10:30 -11:30 am to have fun with Duplos, blocks, matching and sorting games and other STEM/STEAM activities. Preschool age. No registration needed. This program is made possible through the generous support of the Friends of the Library, Chevy Chase Chapter.",,Yes,56
STORYTIME FOR 2s AND 3s,09/08/2016,Sep,FY 17,Rockville Memorial,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"This storytime is designed for children ages 2 to 3 1/2 years old, with a parent or caregiver. Join us for stories, songs and rhymes. Free! No registration necessary. An ACE (All Children Excel) Program; a specialized program developed by MCPL with content for Early Literacy and to help children learn. Library customers can get 2 hours of FREE PARKING when they park in one of the Rockville Town Square garages: A, B or C. For more parking info. CLICK HERE.",G,Yes,70
Construction Crew: DUPLO,09/08/2016,Sep,FY 17,Damascus,Science & Math (STEM),ACE - All Children Excel,Makerspace,Preschool and Kindergarten,Babies and Toddlers,,"Drop in for a morning open session of imaginative construction with DUPLO (ages 2-5), and EDU-BLOCK (ages NB-2). We supply the blocks, so please leave yours at home-- just bring your ideas and start building! Your creations must be left at the library, but may be photographed before deconstruction. All children must be accompanied by an adult at all times. Sponsored by Friends of the Library, Damascus Chapter. Drop-in, no pre-registration. FREE. STEM.",,Yes,22
Tutoring and Homework Help,09/08/2016,Sep,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Tutoring and Homework Help,09/08/2016,Sep,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,11
Tutoring and Homework Help,09/08/2016,Sep,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor of the library. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
MC Infants & Toddlers Bilingual Storytime,09/09/2016,Sep,FY 17,Gaithersburg,Z_Visits In,Storytime,,Babies and Toddlers,Preschool and Kindergarten,,open bilingual storytime hosted in the library by MC Infants & Toddlers,,No,17
LEGO Playtime,09/09/2016,Sep,FY 17,Twinbrook,Makerspace,ACE - All Children Excel,Science & Math (STEM),Elementary School Age,Preschool and Kindergarten,,"Drop-in for an open session of imaginative construction with LEGO and DUPLO blocks. We supply the blocks so please leave yours at home-- just bring your ideas and start building! Your creations must be left at the library by may be photographed before you leave. All children must be accompanied by an adult at all times. For ages three to twelve. Sponsored by Friends of the Library, Twinbrook Chapter. No registration required. For more information call 240-777-0240.",,Yes,13
LEGO Crew,09/09/2016,Sep,FY 17,Gaithersburg,Science & Math (STEM),ACE - All Children Excel,Makerspace,Elementary School Age,Preschool and Kindergarten,,"Come showcase your creativity at this free drop-in LEGO® program sponsored by The Friends of the Library, Gaithersburg Chapter. Come up with your own amazing creations! We supply the bricks so please leave yours at home. Grades K-5 (with a caregiver.) MakerSpace and STEM.",,Yes,37
Tutoring and Homework Help,09/10/2016,Sep,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the Children's area. Two separate sessions: Session 1: 10:30 - 12:00 PM Session 2: 12:00 - 1:30 PM To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,
FAMILY STORYTIME,09/10/2016,Sep,FY 17,Rockville Memorial,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,Babies and Toddlers,,"Stories, songs, and rhymes for the whole family. For all ages. Free! No registration necessary. An ACE (All Children Excel) Program; a specialized program developed by MCPL with content for Early Literacy and to help children learn. Library customers can get 2 hours of FREE PARKING when they park in one of the Rockville Town Square garages: A, B or C. For more parking info. CLICK HERE.",,Yes,45
Born To Read,09/10/2016,Sep,FY 17,Bethesda,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"Stories, rhymes, songs, chants, and other early literacy activities for babies 0 to 23 months with an adult. Free tickets will be handed out 30 minutes prior to the program. Space is limited.",,Yes,54
Preschool Storytime,09/13/2016,Sep,FY 17,Aspen Hill,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Join us for Stories, Songs, Rhymes and more for children up to 5 years and their adults beginning at 11 am. Program will be followed by Stay and Play from 11:30 am-12:00 pm.",,Yes,
